:Device: PLUTO
:Location: vellore
:User: devmode2
:Mechanism: WFE
:Game: HAT-TRICK
:TrialType: SR85PCTRAIN
:TrialStartTime: 2026-09-10T11:31:08
:TrialNumberDay: 4
:AROM: [-3.80,6.28]
:PROM: [-53.42,67.20]
:APROM: [-52.42,64.02]
DeviceRunTime,PacketNumber,Status,DataType,ErrorStatus,ControlType,Calibration,Mechanism,Button,Angle,Torque,Desired,Control,ControlBound,ControlDir,Target,Error,ErrorDiff,ErrorSum,GamePlayerX,GamePlayerY,GameTargetX,GameTargetY,GameState,AanTargetPosition,AanInitialPosition,AanState,Annotation,Miscellaneous
10822.466000,9250,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.073982,-230.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.471000,9251,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.072960,-270.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.476000,9252,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.072021,-310.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.482000,9253,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.070984,-350.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.487000,9254,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.069366,-390.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.492000,9255,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.068085,-410.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.498000,9256,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.066704,-410.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.503000,9257,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.064888,-410.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.508000,9258,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.063255,-410.000031,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.514000,9259,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.061501,-410.000031,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.519000,9260,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.059227,-410.000031,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.524000,9261,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.057190,-410.000061,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.529000,9262,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.054573,-410.000061,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.535000,9263,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.052246,-410.000092,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
